protein,f1_0_f2_0_R_0,f1_0_f2_0_R_1,f1_0_f2_0_R_2,f1_0_f2_1_R_0,f1_0_f2_1_R_1,f1_0_f2_1_R_2,f1_0_f2_2_R_0,f1_0_f2_2_R_1,f1_0_f2_2_R_2,f1_1_f2_0_R_0,f1_1_f2_0_R_1,f1_1_f2_0_R_2,f1_1_f2_1_R_0,f1_1_f2_1_R_1,f1_1_f2_1_R_2,f1_1_f2_2_R_0,f1_1_f2_2_R_1,f1_1_f2_2_R_2
sll0002,414656.39189,315816.800757,128792.495558,391892.062947,377146.353525,319261.932373,320027.352535,199825.276595,355728.509205,124529.435197,231129.545578,182166.498567,722046.559095,599211.046503,559363.623925,405385.375919,508847.938887,365191.840742
sll0006,4028394.84973,4642659.05599,2911310.61876,1933217.53921,1843437.81206,1508997.91009,1295624.86942,1574795.83692,951300.1886,1611645.49407,1154284.73889,1378682.76775,2955057.96341,1899050.16726,3010302.02064,1549850.8845,1585289.42498,1399177.8831
sll0007,3137405.86551,2951091.57611,830077.857843,727492.211092,826069.210995,118192.443826,706683.569159,807590.029277,981635.407277,823121.808181,1670819.59341,979230.985746,1240359.0644,1313665.73086,616238.099747,1074513.99909,3597833.69946,1593789.15194
sll0016,548190.574643,859072.481753,349607.410825,404165.381163,401947.7918,718252.001867,184869.684736,156977.468762,225903.432883,150998.040468,433547.223285,867229.162646,104416.613769,371196.952871,227408.011727,141902.243215,475572.616933,175251.085021
sll0017,12180982.6281,478853.475923,10019227.142,5628705.22061,6437963.61337,5905576.58425,3142730.56884,5846219.74448,5036048.82333,14290100.7743,20035955.7307,18180124.8395,15034693.3217,11683632.6662,14208825.7059,7415159.71409,2426996.31916,7430434.56562
sll0018,16219678.9039,1560883.05509,16378696.0179,15367408.6316,12649450.5467,20298698.0219,18674237.039,14116781.3366,15742999.6537,23741251.4332,7831813.86584,9460523.63351,4913686.53825,15937742.4076,19600030.0739,13533158.6917,258239.319056,2362865.16223
sll0019,5652597.19283,7525329.99656,5355818.5838,5898256.21458,5904353.26731,6739179.60462,3423868.56077,2751491.20154,3260570.3834,4939596.45302,6825865.78664,6070142.4319,7095661.03862,6257291.91275,7366724.93451,3584450.18451,6144042.45811,3539632.69262
sll0020,2873500.66237,1696565.56683,1206405.45625,8988276.94135,6996339.49539,14060347.9292,3573910.83685,2765334.59784,5758971.36502,6562150.23959,14677826.051,10584644.8199,13339879.1016,9381310.28071,10956551.8415,6611469.53836,15743083.1512,6433602.70599
sll0023,907724.815722,2500557.34462,1825810.0661,1790950.0447,2326731.18893,2699152.77814,1873324.99248,211929.032154,2171991.04349,612507.415212,1422681.06571,1661779.32808,1191811.98687,2274389.83821,2265480.68914,2207690.07251,3551704.45876,3019744.56704
sll0036,221831.217201,689640.798397,486498.214444,176312.10394,251858.473457,259564.39483,378169.393552,444342.009449,569601.364675,261243.13822,354441.445979,343512.350008,255501.126917,317678.095047,560404.124993,313007.794489,4606221.69678,1094052.19075
